student_id	student_gender	student_race	search_date	record_found	attending_opeid	Name	state	InstType	FundingType	enroll_start_date	enroll_end_date	enroll_status	class_level	enroll_cip_1	enroll_cip_2	graduated	grad_date	Degree_Desc	deg_cip_1	deg_cip_2	deg_cip_3	deg_cip_4
1	Male	Underrepresented	20050901	Y	00-373500	Virginia Commonwealth University	VA	4+years	Public	20200817	20201207	F	M	510501		N						
1	Male	Underrepresented	20050901	Y	00-373500	Virginia Commonwealth University	VA	4+years	Public							Y	20200516	Doctorate (Professional Practice)	510401			
2	Male	Unknown	20040901	Y	00-283600	Binghamton University	NY	4+years	Public	20200826	20201207	F	D	513808		N						
3	Male	Foreign	20090901	Y	00-210400	"University of Maryland, Baltimore"	MD	4+years	Public							Y	20200514	Doctorate (Professional Practice)	512001			
3	Male	Foreign	20090901	Y	00-210400	"University of Maryland, Baltimore"	MD	4+years	Public	20200831	20201223	H	M	512002		N						
4	Male	Underrepresented	20070901	Y	00-325800	Duquesne University of the Holy Spirit	PA	4+years	"Private, Nonprofit"	20200824	20201220	F	L	512001		N						
5	Male	White	19960901	Y	00-210400	"University of Maryland, Baltimore"	MD	4+years	Public	20200831	20201223	F	M	513801		N						
6	Male	White	20070901	Y	00-149500	Jacksonville University	FL	4+years	"Private, Nonprofit"	20200817	20201124	Q		510508		N						
7	Male	White	20130901	Y	00-210400	"University of Maryland, Baltimore"	MD	4+years	Public	20200831	20201223	H		513801		N						
7	Male	White	20130901	Y	00-691100	Montgomery College	MD	2years	Public							Y	20200522	Associate's	513801			
8	Male	White	20130901	Y	00-210400	"University of Maryland, Baltimore"	MD	4+years	Public	20200831	20201223	H		513801		N						
9	Male	Foreign	20110901	Y	00-278200	New York Institute of Technology	NY	4+years	"Private, Nonprofit"	20200909	20201223	L	T	512201		N						
10	Male	Underrepresented	20070901	Y	00-212800	Boston College	MA	4+years	"Private, Nonprofit"	20200831	20201219	F	M	513804		N						
11	Male	White	20070901	Y	00-374900	George Mason University	VA	4+years	Public							Y	20191221	Bachelor's	260101			
