State,RegionIPEDS
AK,Far West
AL,Southeast
AR,Southeast
AS,Outlying Areas
AZ,Southwest
CA,Far West
CO,Rocky Mountains
CT,New England
CZ,NULL
DC,Mid East
DE,Mid East
FL,Southeast
FO,NULL
GA,Southeast
GU,Outlying Areas
HI,Far West
IA,Plains
ID,Rocky Mountains
IL,Great Lakes
IN,Great Lakes
KS,Plains
KY,Southeast
LA,Southeast
MA,New England
MD,Mid East
ME,New England
MI,Great Lakes
MN,Plains
MO,Plains
MS,Southeast
MT,Rocky Mountains
NC,Southeast
ND,Plains
NE,Plains
NH,New England
NJ,Mid East
NM,Southwest
NV,Far West
NY,Mid East
OH,Great Lakes
OK,Southwest
OR,Far West
PA,Mid East
PR,Outlying Areas
RI,New England
SC,Southeast
SD,Plains
TN,Southeast
TT,NULL
TX,Southwest
UN,NULL
US,NULL
UT,Rocky Mountains
VA,Southeast
VI,Outlying Areas
VT,New England
WA,Far West
WI,Great Lakes
WV,Southeast
WY,Rocky Mountains
